ICOD = 0:No mistakes
Number of iterations 11
Final value of shooting parametr 1.0009765625
   x         y            deltaU      y'                  deltaU'
-1.00000   1.00000e+00   9.76562e-04  -2.00000e+00   0.00000e+00
-0.99000   9.80100e-01   9.76562e-04  -1.98000e+00   0.00000e+00
-0.98000   9.60400e-01   9.76562e-04  -1.96000e+00   0.00000e+00
-0.97000   9.40900e-01   9.76562e-04  -1.94000e+00   0.00000e+00
-0.96000   9.21600e-01   9.76562e-04  -1.92000e+00   0.00000e+00
-0.95000   9.02500e-01   9.76562e-04  -1.90000e+00   0.00000e+00
-0.94000   8.83600e-01   9.76562e-04  -1.88000e+00   0.00000e+00
-0.93000   8.64900e-01   9.76562e-04  -1.86000e+00   0.00000e+00
-0.92000   8.46400e-01   9.76562e-04  -1.84000e+00   2.22045e-16
-0.91000   8.28100e-01   9.76562e-04  -1.82000e+00   2.22045e-16
-0.90000   8.10000e-01   9.76562e-04  -1.80000e+00   2.22045e-16
-0.89000   7.92100e-01   9.76562e-04  -1.78000e+00   2.22045e-16
-0.88000   7.74400e-01   9.76562e-04  -1.76000e+00   2.22045e-16
-0.87000   7.56900e-01   9.76562e-04  -1.74000e+00   2.22045e-16
-0.86000   7.39600e-01   9.76562e-04  -1.72000e+00   2.22045e-16
-0.85000   7.22500e-01   9.76562e-04  -1.70000e+00   2.22045e-16
-0.84000   7.05600e-01   9.76562e-04  -1.68000e+00   2.22045e-16
-0.83000   6.88900e-01   9.76562e-04  -1.66000e+00   2.22045e-16
-0.82000   6.72400e-01   9.76562e-04  -1.64000e+00   4.44089e-16
-0.81000   6.56100e-01   9.76562e-04  -1.62000e+00   4.44089e-16
-0.80000   6.40000e-01   9.76562e-04  -1.60000e+00   4.44089e-16
-0.79000   6.24100e-01   9.76562e-04  -1.58000e+00   4.44089e-16
-0.78000   6.08400e-01   9.76562e-04  -1.56000e+00   4.44089e-16
-0.77000   5.92900e-01   9.76562e-04  -1.54000e+00   4.44089e-16
-0.76000   5.77600e-01   9.76562e-04  -1.52000e+00   4.44089e-16
-0.75000   5.62500e-01   9.76562e-04  -1.50000e+00   4.44089e-16
-0.74000   5.47600e-01   9.76562e-04  -1.48000e+00   4.44089e-16
-0.73000   5.32900e-01   9.76562e-04  -1.46000e+00   4.44089e-16
-0.72000   5.18400e-01   9.76562e-04  -1.44000e+00   4.44089e-16
-0.71000   5.04100e-01   9.76562e-04  -1.42000e+00   4.44089e-16
-0.70000   4.90000e-01   9.76562e-04  -1.40000e+00   4.44089e-16
